FORM_ID,FORM_NAME
202VAHWS,VIOLA / HUNTON / WOODFORD / SYCAMORE
202VAMRH,VIOLA / MISENER-HUNTON
202VASHW,VIOLA / SYLVAN / HUNTON / WOODFORD
202VATYL,VIOLA / TUSSY LOWER
202VBTCK,VIOLA / BROMIDE / TULIP CREEK
202VCBWS,VIOLA / CHIMNEYHILL / BOIS D ARC / WOODFORD / SYCAMORE
202VHMCI,VIOLA / HUNTON / MISSISSIPPIAN / CHESTER / INOLA
202VHMMC,VIOLA / HUNTON / MISSISSIPPIAN / MANNING / CHESTER
202VHMOB,VIOLA/HUNTN/MISS/OSW5/OSW4/OSW3/OSW2/BIG LIME
202VHMSO,VIOLA / HUNTON L / HUNTON U / MISSISSIPPIAN LM / SKNNR / OSW
202VHMSS,VIOLA/SYLVN/HUNT/WOODFD/MISS LM/SKINNER LW/SKINNER UP/OSWEGO
202VHMW,VIOLA / HUNTON / MISSISSIPPIAN / WOODFORD
202VHSOS,VIOLA / HUNTON / SYCAMORE / OSWEGO / SKINNER
202VHWBD,VIOLA / HUNTON / WOODFORD / BASAL PENNSYLVANIAN / DEESE
202VHWBP,VIOLA / HUNTON / WOODFORD / BASAL PENNSYLVANIAN
202VHWDM,VIOLA / HUNTON / WOODFORD / DORNICK HILLS /MORRIS/DES MOINES
202VHWMO,VIOLA / HUNTON / WOODFORD / MISSISSIPPIAN / OSWEGO
202VHWPU,VIOLA / HUNTON / WOODFORD / PENSYLVN UNCON
202VHWSG,VIOLA / HUNTON / WOODFORD / SYCAMORE / GODDARD
202VHWUD,VIOLA/HUNTON/WOODFORD/UNCONFORMITY LOWER /SD/DEESE
202VILAA,VIOLA A
202VILAB,VIOLA B
202VILAC,VIOLA C
202VILAL,VIOLA/LM/
202VILC,VIOLA/CHERT/
202VIOL,VIOLA
202VIOL1,VIOLA 1
202VIOL2,VIOLA 2
202VIOL3,VIOLA 3
202VIOL4,VIOLA 4
202VIOLC,VIOLA CHAT
202VIOLD,VIOLA DOLOMITE
202VIOLE,VIOLA E
202VIOLL,VIOLA LOWER
202VIOLM,VIOLA MIDDLE
202VIOLU,VIOLA UPPER
202VLAD1,VIOLA / DEESE 1
202VLAD3,VIOLA / DEESE 3
202VLATY,TUSSY / VIOLA
202VLCLM,VIOLA / CHIMNEYHILL / MISSISSIPPIAN
202VLCLW,VIOLA / CROMWELL / WAPANUCKA
202VLCML,VIOLA / CROMWELL
202VLDS,VIOLA / DENSE
202VLDSE,VIOLA / DEESE 1 / DEESE 2
202VLDTH,VIOLA / DOLOMITE / HUNTON
202VLER,VIOLA EROSIONAL
202VLGKC,VIOLA / LANSING-KANSAS CITY
202VLHCT,VIOLA / HUNTON / CALVIN / THURMAN
202VLHMI,VIOLA / HUNTON / MISSISSIPPIAN / INOLA
202VLHMO,VIOLA / HUNTON / MISSISSIPPIAN / OSWEGO
202VLHNM,VIOLA / HUNTON / MAYES
202VLHNR,VIOLA / HUNTON / RED FORK
202VLRK,VIOLA / RED FORK
202VLSRS,VIOLA / SYCAMORE / SPRINGER
202VLUHL,VIOLA LOWER / VIOLA UPPER / HUNTON LOWER
202VLUHN,VIOLA LOWER / VIOLA UPPER / HUNTON
202VLUSR,VIOLA UPPER / SYCAMORE
202VMLUM,VIOLA / MISSISSIPPIAN L / MISSISSIPPIAN U / MANNING
202VMPLG,VIOLA / MISSISSIPPIAN / LANSING
202VMQCS,VIOLA / MAQUOKETA / CHEROKEE SD
202VMTFL,VIOLA/MORRIS/DES MOINES//TUSSY/FUSULINID DESMOINES LOWER
202VMWOH,VIOLA / MISENER-HUNTON / WOODFORD / OSBORN / HART
202VOLCH,VIOLA CHERT
202VRFMH,VIOLA / RED FORK / MISSISSIPPIAN / HUNTON
202VSHBP,VIOLA / SYLVAN / HUNTON / BASAL PENNSYLVANIAN
202VSHWD,VIOLA / SYLVAN / HUNTON / WOODFORD / UNCON LWR/SD/  DEESE
202VSHWP,VIOLA / SYLVAN / HUNTON / WOODFORD / BASAL PENNSYLVANIAN
202VSOCU,VIOLA/SIMPSON/OIL CREEK UPPER
202VWCWA,VIOLA / WOODFORD / CROMWELL / WAPANUCKA
202VWDMS,VIOLA/WOODFORD/MISSISSIPPIAN
202VWSCY,VIOLA / WOODFORD / SYCAMORE / CANEY
202WCMWV,WAPANUCKA / CROMWELL / MISSISSIPPIAN / WOODFORD / VIOLA
202WCXSP,WILCOX 2 / SIMPSON
202WDHL,WOODS HOLLOW
202WFHVM,WOODFORD / HUNTON / VIOLA / MCLISH
202WLCOX,WILCOX 2 / WILCOX 1
202WLCX,WILCOX
202WLCX1,WILCOX 1
202WLCX2,WILCOX 2
202WLCX3,WILCOX 3
202WLCXL,WILCOX LOWER
202WLCXU,WILCOX UPPER
202WLCXV,WILCOX 2 / WILCOX 1 / VIOLA
202WLMND,WILCOX / MISENER SAND / DUTCHER /ATOKEN/
202WMBL,WOMBLE
202WMLRW,WILCX / MISS LME / RED FRK / SKNNR/SD/ /  WOODFRD/SIMPSN DOL
